Calibrated m/z,C,H,O,N,S,P,Molecular Formula,Is Isotopologue,Heteroatom Class,Calculated m/z,m/z Error (ppm),MolForm,AI,AI_Mod,DBE_1,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd
210.077214746,10,13,4,1,0,0,C10H13O4N1,0,N1 O4,210.077181449,0.158497375,C10H13O4N,0,0.285714285714286,5,1,0,66,209.842640651272,0.157359348728022,-0.2,0.4,1.3,0.1,0,Inf,Lignin,Lignin,Other,66,-137.764601111634,0.114076154533263,0.101173819704439,660,-1377.64601111634
255.054135368,10,13,4,2,0,1,C10H13O4N2P1,0,N2 P1 O4,255.054017452,0.462315448,C10H13O4N2P,0,0.2,6,2,-1,71.7,254.7693396419,0.230660358099698,-0.4,0.4,1.3,0.2,0.1,2,Lignin,Lignin,Protein,71.7,-144.050754118201,0.0971772361292719,0.0879657503467777,717,-1440.50754118201
227.047776025,10,13,4,0,0,1,C10H13O4P1,0,P1 O4,227.047869443,-0.411446901,C10H13O4P,0,0.285714285714286,5,1,0,88.8,226.79425244994,0.205747550060124,-1,0.4,1.3,0,0.1,0,Lignin,Lignin,Phytochemical,88.8,-158.913828802379,0.0759369845319425,0.0667903348388767,888,-1589.13828802379
226.07224372,10,13,5,1,0,0,C10H13O5N1,0,N1 O5,226.072096069,0.653115822,C10H13O5N,0,0.230769230769231,5,0,-1,60.3,225.819809433027,0.18019056697338,0,0.5,1.3,0.1,0,Inf,Lignin,Lignin,Other,60.3,-135.47383244059,0.115696286540446,0.10006379479783,603,-1354.7383244059
271.049002262,10,13,5,2,0,1,C10H13O5N2P1,0,N2 P1 O5,271.048932072,0.258956783,C10H13O5N2P,0,0.111111111111111,6,1,-2,66,270.746346524635,0.25365347536507,-0.2,0.5,1.3,0.2,0.1,2,Lignin,Lignin,Protein,66,-141.759985447157,0.114076154533263,0.0959325659567618,660,-1417.59985447157
242.067074999,10,13,6,1,0,0,C10H13O6N1,0,N1 O6,242.067010689,0.265670634,C10H13O6N,0,0.166666666666667,5,-1,-2,54.6,241.796780740529,0.203219259470671,0.2,0.6,1.3,0.1,0,Inf,Lignin,Lignin,Other,54.6,-133.183063769545,0.117093485793403,0.102852204446593,546,-1331.83063769545
258.062139202,10,13,7,1,0,0,C10H13O7N1,0,N1 O7,258.061925308,0.828847669,C10H13O7N,0,0.0909090909090909,5,-2,-3,48.9,257.773984711947,0.226015288052963,0.4,0.7,1.3,0.1,0,Inf,Tannin,Tannin,Other,48.9,-130.892295098501,0.11833913086197,0.10608796442409,489,-1308.92295098501
274.056933943,10,13,8,1,0,0,C10H13O8N1,0,N1 O8,274.056839928,0.343051604,C10H13O8N,0,0,5,-3,-4,43.2,273.750919522248,0.249080477751704,0.6,0.8,1.3,0.1,0,Inf,Tannin,Tannin,Other,43.2,-128.601526427456,0.123315729873717,0.109463197008941,432,-1286.01526427456
319.033966376,10,13,8,2,0,1,C10H13O8N2P1,0,N2 P1 O8,319.033675931,0.910389916,C10H13O8N2P,0,0,6,-2,-5,48.9,318.677730199028,0.322269800972492,0.4,0.8,1.3,0.2,0.1,2,Tannin,Tannin,Nucleotide,48.9,-134.887679434023,0.11833913086197,0.104031912902608,489,-1348.87679434023
318.058000088,10,13,9,3,0,0,C10H13O9N3,0,N3 O9,318.057902556,0.306649807,C10H13O9N3,0,0,6,-3,-6,20.4,317.702853683704,0.297146316296448,1.4,0.9,1.3,0.3,0,Inf,Tannin,Tannin,Protein,20.4,-111.447683072234,0.147603704646572,0.130920281946636,204,-1114.47683072234
241.047268848,10,14,1,2,2,0,C10H14O1N2S2,0,N2 S2 O1,241.047478976,-0.871727463,C10H14ON2S2,0,0.0909090909090909,5,4,0,66,240.778113314188,0.221886685811967,-0.2,0.1,1.4,0.2,0,Inf,Unsat Hydrocarbon,Unsat Hydrocarbon,Other,66,-141.759985447157,0.114076154533263,0.0959325659567618,660,-1417.59985447157
257.042272655,10,14,2,2,2,0,C10H14O2N2S2,0,N2 S2 O2,257.042393596,-0.470507827,C10H14O2N2S2,0,0,5,3,-1,60.3,256.755256957044,0.244743042955577,0,0.2,1.4,0.2,0,Inf,Other,Lignin,Protein,60.3,-139.469216776112,0.115696286540446,0.0980212625492825,603,-1394.69216776112
181.087130041,10,14,3,0,0,0,C10H14O3,0,O3,181.087017858,0.619501117,C10H14O3,0.142857142857143,0.294117647058824,4,1,1,83.1,180.884926533839,0.11507346616105,-0.8,0.3,1.4,0,0,NA,Lignin,Lignin,Other,83.1,-148.63229146029,0.082489679250122,0.074989033081861,831,-1486.3229146029
197.081968671,10,14,4,0,0,0,C10H14O4,0,O4,197.081932477,0.183648496,C10H14O4,0,0.25,4,0,0,77.4,196.861905184133,0.138094815866566,-0.6,0.4,1.4,0,0,NA,Lignin,Lignin,Other,77.4,-146.341522789246,0.0895493608691158,0.0812454135194284,774,-1463.41522789246
225.088227213,10,14,4,2,0,0,C10H14O4N2,0,N2 O4,225.088080486,0.651863041,C10H14O4N2,0,0.166666666666667,5,1,-1,60.3,224.836891687649,0.163108312350829,0,0.4,1.4,0.2,0,Inf,Lignin,Lignin,Protein,60.3,-131.478448105068,0.115696286540446,0.10583310595375,603,-1314.78448105068
213.076854876,10,14,5,0,0,0,C10H14O5,0,O5,213.076847097,0.036510626,C10H14O5,0,0.2,4,-1,-1,71.7,212.838931356305,0.161068643694733,-0.4,0.5,1.4,0,0,NA,Lignin,Lignin,Other,71.7,-144.050754118201,0.0971772361292719,0.0879657503467777,717,-1440.50754118201
241.083163773,10,14,5,2,0,0,C10H14O5N2,0,N2 O5,241.082995106,0.699623091,C10H14O5N2,0,0.0909090909090909,5,0,-2,54.6,240.813968158594,0.186031841405878,0.2,0.5,1.4,0.2,0,Inf,Lignin,Lignin,Protein,54.6,-129.187679434023,0.117093485793402,0.104773535232802,546,-1291.87679434023
245.048897291,10,14,5,0,1,0,C10H14O5S1,0,S1 O5,245.048918271,-0.085615345,C10H14O5S,0,0.0769230769230769,4,-1,-2,66,244.77527350312,0.224726496880294,-0.2,0.5,1.4,0,0,NA,Lignin,Lignin,Other,66,-145.755369782679,0.114076154533263,0.0936229287126429,660,-1457.55369782679
277.020831926,10,14,5,0,2,0,C10H14O5S2,0,S2 O5,277.020989446,-0.568621189,C10H14O5S2,0,0,4,-1,-3,60.3,276.711507990282,0.288492009717686,0,0.5,1.4,0,0,NA,Lignin,Lignin,Other,60.3,-147.459985447157,0.115696286540446,0.0946312004661142,603,-1474.59985447157
229.071723082,10,14,6,0,0,0,C10H14O6,0,O6,229.071761716,-0.168657446,C10H14O6,0,0.142857142857143,4,-2,-2,66,228.815939549575,0.184060450425079,-0.2,0.6,1.4,0,0,NA,Lignin;Amino Sugar,Lignin,Other,66,-141.759985447157,0.114076154533263,0.0959325659567618,660,-1417.59985447157
337.992627229,10,14,6,1,2,1,C10H14O6N1P1S2,0,N1 S2 P1 O6,337.992740068,-0.333850307,C10H14O6NS2P,0,0,5,-1,-5,60.3,337.61522164195,0.3847783580498,0,0.6,1.4,0.1,0.1,1,Lignin;Amino Sugar,Lignin,Lipid,60.3,-151.455369782679,0.115696286540446,0.0929782735020542,603,-1514.55369782679
257.078106033,10,14,6,2,0,0,C10H14O6N2,0,N2 O6,257.077909725,0.763613296,C10H14O6N2,0,0,5,-1,-3,48.9,256.791050323174,0.208949676825569,0.4,0.6,1.4,0.2,0,Inf,Lignin;Amino Sugar,Lignin,Protein,48.9,-126.896910762979,0.11833913086197,0.108182684981251,489,-1268.96910762979
245.066734135,10,14,7,0,0,0,C10H14O7,0,O7,245.066676336,0.235849298,C10H14O7,0,0.0769230769230769,4,-3,-3,60.3,244.79309043034,0.206909569659643,0,0.7,1.4,0,0,NA,Amino Sugar,Tannin,Other,60.3,-139.469216776112,0.115696286540446,0.0980212625492825,603,-1394.69216776112
261.061834343,10,14,8,0,0,0,C10H14O8,0,O8,261.061590955,0.932301094,C10H14O8,0,0,4,-4,-4,54.6,260.770330366555,0.229669633445496,0.2,0.8,1.4,0,0,NA,Other,Tannin,Other,54.6,-137.178448105068,0.117093485793403,0.100964862168865,546,-1371.78448105068
