Calibrated_Mass,C,H,O,N,S,P,Is_Isotopologue,Heteroatom_Class,Calculated_Mass,Error_ppm,MolForm,AI,AI_Mod,DBE_1,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd
181.087130041,10,14,3,0,0,0,0,O3,181.087017858,0.619501117,C10H14O3,0.142857143,0.294117647,4,1,1,83.1,180.884926534,0.115073466,-0.8,0.3,1.4,0,0,-9999,Lignin,Lignin,Other,83.1,-148.63229146,0.082489679,0.074989033,831,-1486.322914603
197.081987314,10,14,4,0,0,0,0,O4,197.081932477,0.278245214,C10H14O4,0,0.25,4,0,0,77.4,196.861923807,0.138076193,-0.6,0.4,1.4,0,0,-9999,Lignin,Lignin,Other,77.4,-146.341522789,0.089549361,0.081245414,774,-1463.415227892
225.088227213,10,14,4,2,0,0,0,N2 O4,225.088080486,0.651863041,C10H14O4N2,0,0.166666667,5,1,-1,60.3,224.836891687,0.163108313,0,0.4,1.4,0.2,0,-9999,Lignin,Lignin,Protein,60.3,-131.478448105,0.115696287,0.105833106,603,-1314.784481051
213.076884794,10,14,5,0,0,0,0,O5,213.076847097,0.176916563,C10H14O5,0,0.2,4,-1,-1,71.7,212.83896124,0.16103876,-0.4,0.5,1.4,0,0,-9999,Lignin,Lignin,Other,71.7,-144.050754118,0.097177236,0.08796575,717,-1440.507541182
241.083163773,10,14,5,2,0,0,0,N2 O5,241.082995106,0.699623091,C10H14O5N2,0,0.090909091,5,0,-2,54.6,240.813968158,0.186031842,0.2,0.5,1.4,0.2,0,-9999,Lignin,Lignin,Protein,54.6,-129.187679434,0.117093486,0.104773535,546,-1291.87679434
245.048998758,10,14,5,0,1,0,0,S1 O5,245.048918271,0.328453211,C10H14O5S,0,0.076923077,4,-1,-2,66,244.775374857,0.224625143,-0.2,0.5,1.4,0,0,-9999,Lignin,Lignin,Other,66,-145.755369783,0.114076155,0.093622929,660,-1457.553697827
277.020713382,10,14,5,0,2,0,0,S2 O5,277.020989446,-0.996544291,C10H14O5S2,0,0,4,-1,-3,60.3,276.711389579,0.288610421,0,0.5,1.4,0,0,-9999,Lignin,Lignin,Other,60.3,-147.459985447,0.115696287,0.0946312,603,-1474.599854472
229.071786273,10,14,6,0,0,0,0,O6,229.071761716,0.10720021,C10H14O6,0,0.142857143,4,-2,-2,66,228.81600267,0.18399733,-0.2,0.6,1.4,0,0,-9999,Lignin;Amino Sugar,Lignin,Other,66,-141.759985447,0.114076155,0.095932566,660,-1417.599854472
257.07802339,10,14,6,2,0,0,0,N2 O6,257.077909725,0.442142261,C10H14O6N2,0,0,5,-1,-3,48.9,256.790967773,0.209032227,0.4,0.6,1.4,0.2,0,-9999,Lignin;Amino Sugar,Lignin,Protein,48.9,-126.896910763,0.118339131,0.108182685,489,-1268.96910763
245.066801752,10,14,7,0,0,0,0,O7,245.066676336,0.51176366,C10H14O7,0,0.076923077,4,-3,-3,60.3,244.793157972,0.206842028,0,0.7,1.4,0,0,-9999,Amino Sugar,Tannin,Other,60.3,-139.469216776,0.115696287,0.098021263,603,-1394.692167761
