"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","18O","33S","34S"
"31","215.055989","215.056162664","215.056111652","956331.8","-9999","1001732.2","15.38","-1","0.237202356","0.989842734","0","0.593905641","4","0.666666667","1.333333333","O6","de-protonated","0","-9999","C9 H12 O6","9","12","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"33","215.09232","215.092493622","215.092497161","1032368.8","-9999","1022616.1","16.76","-1","-0.016455336","0.999950869","0","0.599970521","3","0.5","1.6","O5","de-protonated","0","-9999","C10 H16 O5","10","16","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"35","217.071619","217.07179034","217.071761716","1131975.6","-9999","1114808","18.51","-1","0.131862183","0.996850008","0","0.598110005","3","0.666666667","1.555555556","O6","de-protonated","0","-9999","C9 H14 O6","9","14","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"36","217.108042","217.108213298","217.108147226","520716.9","-9999","993891.5","7.44","-1","0.304328582","0.983335386","0","0.590001232","2","0.5","1.8","O5","de-protonated","0","-9999","C10 H18 O5","10","18","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"39","227.092315","227.092474787","227.092497161","739566.4","-9999","1034472.6","11.28","-1","-0.098524151","0.998240226","0","0.598944136","4","0.454545455","1.454545455","O5","de-protonated","0","-9999","C11 H16 O5","11","16","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"40","227.12869","227.128849745","227.128882671","703284.1","-9999","867267.1","10.63","-1","-0.14496343","0.996194226","0","0.597716535","3","0.333333333","1.666666667","O4","de-protonated","0","-9999","C12 H20 O4","12","20","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"42","229.071616","229.071773505","229.071761716","1099302.3","-9999","795641.7","17.69","-1","0.051463688","0.999519547","0","0.599711728","4","0.6","1.4","O6","de-protonated","0","-9999","C10 H14 O6","10","14","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"43","229.107964","229.108121463","229.108147226","933420","-9999","818266.1","14.72","-1","-0.112446361","0.997708359","0","0.598625016","3","0.454545455","1.636363636","O5","de-protonated","0","-9999","C11 H18 O5","11","18","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"44","231.050829","231.050984223","231.051026271","617888.5","-9999","1068123.4","9.03","-1","-0.18198598","0.99400864","0","0.596405184","4","0.777777778","1.333333333","O7","de-protonated","0","-9999","C9 H12 O7","9","12","7","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"46","231.087211","231.087366181","231.087411781","1766310.3","-9999","788160","29.54","-1","-0.19732508","0.992959798","0","0.595775879","3","0.6","1.6","O6","de-protonated","0","-9999","C10 H16 O6","10","16","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"47","231.12362","231.123775139","231.12379729","544908.1","-9999","1008534.5","7.73","-1","-0.095838974","0.998334762","0","0.599000857","2","0.454545455","1.818181818","O5","de-protonated","0","-9999","C11 H20 O5","11","20","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"49","241.071552","241.071695671","241.071761716","1050269.3","-9999","859231.6","16.57","-1","-0.273967096","0.986473151","0","0.591883891","5","0.545454545","1.272727273","O6","de-protonated","0","-9999","C11 H14 O6","11","14","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"50","241.107946","241.108089629","241.108147226","1036258.9","-9999","904030.1","16.32","-1","-0.238884664","0.989698894","0","0.593819336","4","0.416666667","1.5","O5","de-protonated","0","-9999","C12 H18 O5","12","18","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"51","241.144283","241.144426587","241.144532735","675240.7","-9999","918986.4","9.94","-1","-0.440185312","0.965452803","0","0.579271682","3","0.307692308","1.692307692","O4","de-protonated","0","-9999","C13 H22 O4","13","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"53","243.087158","243.087299347","243.087411781","1441817.3","-9999","904027.5","23.41","-1","-0.462524826","0.961926557","0","0.577155934","4","0.545454545","1.454545455","O6","de-protonated","0","-9999","C11 H16 O6","11","16","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"55","243.123565","243.123706305","243.12379729","1110687","-9999","721901.5","17.57","-1","-0.374234391","0.974908032","0","0.584944819","3","0.416666667","1.666666667","O5","de-protonated","0","-9999","C12 H20 O5","12","20","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"56","245.048708","245.048847085","245.048918271","518569.2","-9999","835662.9","7.13","-1","-0.290496221","0.984804533","0","0.59088272","4","0.5","1.4","S1 O5","de-protonated","0","-9999","C10 H14 O5 S1","10","14","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"58","245.066447","245.066586065","245.066676336","1057356","-9999","850843.7","16.63","-1","-0.368352716","0.975680958","0","0.585408575","4","0.7","1.4","O7","de-protonated","0","-9999","C10 H14 O7","10","14","7","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"60","245.102872","245.103011023","245.103061845","1097937.5","-9999","900551.8","17.34","-1","-0.207350816","0.992229081","0","0.595337448","3","0.545454545","1.636363636","O6","de-protonated","0","-9999","C11 H18 O6","11","18","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"61","245.139273","245.139411981","245.139447355","553303.1","-9999","893568.4","7.74","-1","-0.144300056","0.996228912","0","0.597737347","2","0.416666667","1.833333333","O5","de-protonated","0","-9999","C12 H22 O5","12","22","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"62","247.082094","247.082230741","247.0823264","887423.6","-9999","828312.1","13.58","-1","-0.387155394","0.973169298","0","0.583901579","3","0.7","1.6","O7","de-protonated","0","-9999","C10 H16 O7","10","16","7","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"64","253.107926","253.108055794","253.108147226","559730.1","-9999","1057847.9","7.78","-1","-0.361235697","0.97660065","0","0.58596039","5","0.384615385","1.384615385","O5","de-protonated","0","-9999","C13 H18 O5","13","18","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"66","253.144305","253.144434752","253.144532735","1234679.3","-9999","930263.3","19.6","-1","-0.387063421","0.973181872","0","0.583909123","4","0.285714286","1.571428571","O4","de-protonated","0","-9999","C14 H22 O4","14","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"67","255.087142","255.087269512","255.087411781","1024644.9","-9999","929854.7","15.86","-1","-0.557724999","0.945122325","0","0.567073395","5","0.5","1.333333333","O6","de-protonated","0","-9999","C12 H16 O6","12","16","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"68","255.123535","255.12366247","255.12379729","1187850","-9999","806084.5","18.71","-1","-0.528449071","0.950591294","0","0.570354776","4","0.384615385","1.538461538","O5","de-protonated","0","-9999","C13 H20 O5","13","20","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"69","257.066376","257.06650123","257.066676336","792334.9","-9999","772725.2","11.8","-1","-0.681167931","0.919256277","0","0.551553766","5","0.636363636","1.272727273","O7","de-protonated","0","-9999","C11 H14 O7","11","14","7","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"71","257.102816","257.102941188","257.103061845","1837715.8","-9999","755331.5","30.04","-1","-0.46929405","0.960826241","0","0.576495744","4","0.5","1.5","O6","de-protonated","0","-9999","C12 H18 O6","12","18","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"73","257.139194","257.139319146","257.139447355","1445656.5","-9999","783260","23.11","-1","-0.498594161","0.955894772","0","0.573536863","3","0.384615385","1.692307692","O5","de-protonated","0","-9999","C13 H22 O5","13","22","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"76","259.082082","259.082204906","259.0823264","1489171.8","-9999","769682.6","23.86","-1","-0.46893945","0.960884245","0","0.576530547","4","0.636363636","1.454545455","O7","de-protonated","0","-9999","C11 H16 O7","11","16","7","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"78","259.11847","259.118592864","259.11871191","1845400.4","-9999","822259.1","30.06","-1","-0.459423498","0.962425744","0","0.577455446","3","0.5","1.666666667","O6","de-protonated","0","-9999","C12 H20 O6","12","20","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"79","261.061367","261.061487625","261.061590955","709577.5","-9999","876928.1","10.27","-1","-0.395810549","0.971973403","0","0.583184042","4","0.8","1.4","O8","de-protonated","0","-9999","C10 H14 O8","10","14","8","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"80","261.097728","261.097848583","261.097976465","866573.9","-9999","843108.4","12.99","-1","-0.48978626199999997","0.957405908","0","0.57444354500000006","3","0.636363636","1.636363636","O7","de-protonated","0","-9999","C11 H18 O7","11","18","7","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"83","265.147618","265.147733914","265.147904038","14134375","-9999","626544","241.7","-1","-0.641622309","0.936714019","0.986697163","0.956707277","0","0.333333333","2.166666667","S1 O4","de-protonated","0","-9999","C12 H26 O4 S1","12","26","4","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"83","265.147618","265.147733914","265.147523916","14134375","-9999","626544","241.7","-1","0.792003284","0.897976066","0.969615386","0.926631794","5","0.071428571","1.642857143","N2 P1 O1","de-protonated","0","-9999","C14 H23 O1 N2 P1","14","23","1","2","1","-9999","-9999","-9999","-9999","-9999","-9999"
"84","266.150963","266.151077757","266.151258873","1590101.8","-9999","617244.1","25.4","-1","-0.680502613","0.933842117","0.986697163","0.954984136","0","0.333333333","2.166666667","13C1 S1 O4","de-protonated","1","83","C11 H26 O4 S1 13C1","11","26","4","-9999","-9999","1","1","-9999","-9999","-9999","-9999"
