"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","34S"
"123","285.170362","285.170608788","285.170747484","983882.6","-9999","446280.8","14.68","-1","-0.486359945","0.957987106","0","0.574792264","3","0.333333333","1.733333333","O5","de-protonated","0","-9999","C15 H26 O5","15","26","5","-9999","-9999","-9999","-9999","-9999"
"125","286.129132","286.129380232","286.129474601","1695766","-9999","564386.7","26.76","-1","-0.329812694","0.980456169","0.98983323","0.984206993","4","0.285714286","1.642857143","13C1 P1 O4","de-protonated","1","121","C13 H23 O4 P1 13C1","13","23","4","-9999","1","-9999","1","-9999"
"125","286.129132","286.129380232","286.129610946","1695766","-9999","564386.7","26.76","-1","-0.806329523","0.888720934","0","0.533232561","4","0.461538462","1.615384615","N1 O6","de-protonated","0","-9999","C13 H21 O6 N1","13","21","6","1","-9999","-9999","-9999","-9999"
"127","287.076866","287.077115659","287.07724102","1849439.8","-9999","660773.5","29.24","-1","-0.436681097","0.965991234","0","0.579594741","5","0.666666667","1.333333333","O8","de-protonated","0","-9999","C12 H16 O8","12","16","8","-9999","-9999","-9999","-9999","-9999"
"128","287.113272","287.113521714","287.113626529","3595106.5","-9999","618002","58.73","-1","-0.365067083","0.976998157","0.985764651","0.980504755","4","0.538461538","1.538461538","O7","de-protonated","0","-9999","C13 H20 O7","13","20","7","-9999","-9999","-9999","-9999","-9999"
"129","287.149655","287.149904768","287.150012039","1656037.4","-9999","512545.3","25.97","-1","-0.373568845","0.974996076","0","0.584997646","3","0.428571429","1.714285714","O6","de-protonated","0","-9999","C14 H24 O6","14","24","6","-9999","-9999","-9999","-9999","-9999"
"130","288.116629","288.116880224","288.116981364","573167.9","-9999","678770.9","7.68","-1","-0.351037755","0.977888651","0.985764651","0.981039051","4","0.538461538","1.538461538","13C1 O7","de-protonated","1","128","C12 H20 O7 13C1","12","20","7","-9999","-9999","-9999","1","-9999"
"131","289.092539","289.092791694","289.092891084","2124794.5","-9999","711992.8","33.89","-1","-0.34380106","0.978781269","0","0.587268762","4","0.666666667","1.5","O8","de-protonated","0","-9999","C12 H18 O8","12","18","8","-9999","-9999","-9999","-9999","-9999"
"132","289.128903","289.129155749","289.129276594","1875709.3","-9999","611707.2","29.68","-1","-0.417961946","0.968799437","0","0.581279662","3","0.538461538","1.692307692","O7","de-protonated","0","-9999","C13 H22 O7","13","22","7","-9999","-9999","-9999","-9999","-9999"
"133","289.16526","289.165512803","289.165662103","629376.1","-9999","656751.8","8.62","-1","-0.516311782","0.952781","0","0.5716686","2","0.428571429","1.857142857","O6","de-protonated","0","-9999","C14 H26 O6","14","26","6","-9999","-9999","-9999","-9999","-9999"
