"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","33S","34S"
"238","361.167024","361.166980503","361.166999514","997933.6","-9999","588681.8","12.85","-1","-0.052635671","0.99949742","0","0.599698452","13","0.095238095","1.047619048","N4 O2","de-protonated","0","-9999","C21 H22 O2 N4","21","22","2","4","-9999","-9999","-9999","-9999","-9999","-9999"
"239","361.180044","361.180000497","361.180266796","2127407.8","-9999","553265.3","29.54","-1","-0.73730148","0.906070691","0","0.543642415","3","0.3125","1.875","N2 S1 O5","de-protonated","0","-9999","C16 H30 O5 N2 S1","16","30","5","2","-9999","1","-9999","-9999","-9999","-9999"
"239","361.180044","361.180000497","361.179886673","2127407.8","-9999","553265.3","29.54","-1","0.315144278","0.98214066","0","0.589284396","8","0.111111111","1.5","N4 P1 O2","de-protonated","0","-9999","C18 H27 O2 N4 P1","18","27","2","4","1","-9999","-9999","-9999","-9999","-9999"
"240","361.205681","361.205637484","361.205418916","1778484.4","-9999","560010.4","24.39","-1","0.605108907","0.935720303","0","0.561432182","2","0.277777778","1.888888889","S1 O5","de-protonated","0","-9999","C18 H34 O5 S1","18","34","5","-9999","-9999","1","-9999","-9999","-9999","-9999"
"243","362.970968","362.970923618","362.970882424","30848368","-9999","484298.4","447.07","-1","0.113491605","0.332555202","0.772211541","0.508417738","16","0.105263158","0.473684211","S2 P1 O2","de-protonated","0","-9999","C19 H9 O2 P1 S2","19","9","2","-9999","1","2","-9999","-9999","-9999","-9999"
"243","362.970968","362.970923618","362.971079129","30848368","-9999","484298.4","447.07","-1","-0.42843728","0.650576665","0.897264526","0.749251809","8","0.888888889","0.888888889","N4 S2 O8","de-protonated","0","-9999","C9 H8 O8 N4 S2","9","8","8","4","-9999","2","-9999","-9999","-9999","-9999"
"244","363.046161","363.046116581","363.046155366","970878.5","-9999","513967.5","12.26","-1","-0.106831855","0.997931261","0","0.598758756","10","0.294117647","1","S1 P1 O5","de-protonated","0","-9999","C17 H17 O5 P1 S1","17","17","5","-9999","1","1","-9999","-9999","-9999","-9999"
"245","363.08652","363.086475562","363.086760332","1325957.9","-9999","534972.1","17.43","-1","-0.784304378","0.894388406","0","0.536633044","5","0.615384615","1.538461538","N2 S1 O8","de-protonated","0","-9999","C13 H20 O8 N2 S1","13","20","8","2","-9999","1","-9999","-9999","-9999","-9999"
"245","363.08652","363.086475562","363.08638021","1325957.9","-9999","534972.1","17.43","-1","0.262615151","0.987564053","0","0.592538432","10","0.333333333","1.133333333","N4 P1 O5","de-protonated","0","-9999","C15 H17 O5 N4 P1","15","17","5","4","1","-9999","-9999","-9999","-9999","-9999"
"246","363.159285","363.159240526","363.159531351","1451667","-9999","568472","19.26","-1","-0.80081868","0.890150296","0","0.534090178","3","0.4","1.866666667","N2 S1 O6","de-protonated","0","-9999","C15 H28 O6 N2 S1","15","28","6","2","-9999","1","-9999","-9999","-9999","-9999"
"246","363.159285","363.159240526","363.159151228","1451667","-9999","568472","19.26","-1","0.245891046","0.989089136","0","0.593453481","8","0.176470588","1.470588235","N4 P1 O3","de-protonated","0","-9999","C17 H25 O3 N4 P1","17","25","3","4","1","-9999","-9999","-9999","-9999","-9999"
"247","363.182636","363.182591514","363.182649578","2391447.3","-9999","538495.7","32.93","-1","-0.159874524","0.995372934","0","0.597223761","12","0.095238095","1.142857143","N4 O2","de-protonated","0","-9999","C21 H24 O2 N4","21","24","2","4","-9999","-9999","-9999","-9999","-9999","-9999"
"248","363.195722","363.195677508","363.19591686","1500825.6","-9999","451192.3","19.97","-1","-0.65901667","0.924221328","0","0.554532797","2","0.3125","2","N2 S1 O5","de-protonated","0","-9999","C16 H32 O5 N2 S1","16","32","5","2","-9999","1","-9999","-9999","-9999","-9999"
"248","363.195722","363.195677508","363.195536738","1500825.6","-9999","451192.3","19.97","-1","0.387588343","0.97311007","0","0.583866042","7","0.111111111","1.611111111","N4 P1 O2","de-protonated","0","-9999","C18 H29 O2 N4 P1","18","29","2","4","1","-9999","-9999","-9999","-9999","-9999"
"249","363.970546","363.970501128","363.970350853","1585191.4","-9999","401034.6","21.2","-1","0.412877124","0.969542365","0","0.581725419","12","0.461538462","0.538461538","N3 S2 O6","de-protonated","0","-9999","C13 H7 O6 N3 S2","13","7","6","3","-9999","2","-9999","-9999","-9999","-9999"
