"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","18O","34S"
"85","245.10312","245.103133717","245.103061845","1887985.4","-9999","673884.7","31.14","-1","0.293231809","0.984519232","0","0.590711539","3","0.545454545","1.636363636","O6","de-protonated","0","-9999","C11 H18 O6","11","18","6","-9999","-9999","-9999","-9999","-9999","-9999"
"86","245.139494","245.139507792","245.139447355","825975.2","-9999","759460.7","12.49","-1","0.246542498","0.989031564","0","0.593418939","2","0.416666667","1.833333333","O5","de-protonated","0","-9999","C12 H22 O5","12","22","5","-9999","-9999","-9999","-9999","-9999","-9999"
"87","247.08233","247.082347778","247.0823264","999404.3","-9999","676383.3","15.48","-1","0.086520117","0.998642646","0","0.599185588","3","0.7","1.6","O7","de-protonated","0","-9999","C10 H16 O7","10","16","7","-9999","-9999","-9999","-9999","-9999","-9999"
"88","247.118753","247.118770853","247.11871191","948210","-9999","729588.3","14.58","-1","0.238520868","0.989730084","0","0.59383805","2","0.545454545","1.818181818","O6","de-protonated","0","-9999","C11 H20 O6","11","20","6","-9999","-9999","-9999","-9999","-9999","-9999"
"90","249.084249","249.084270885","249.084057734","623973","-9999","887946.7","8.9","-1","0.855739956","0.875576094","0","0.525345656","3","0.857142857","2","N4 O6","de-protonated","0","-9999","C7 H14 O6 N4","7","14","6","4","-9999","-9999","-9999","-9999","-9999"
"91","251.09581","251.095836012","251.095868465","602512.4","-9999","575348.9","8.49","-1","-0.129242463","0.99697374","0","0.598184244","1","0.5","2","S1 O5","de-protonated","0","-9999","C10 H20 O5 S1","10","20","5","-9999","-9999","1","-9999","-9999","-9999"
"92","253.108142","253.108172141","253.108147226","734340.2","-9999","782142.7","10.79","-1","0.098437188","0.998243329","0","0.598945997","5","0.384615385","1.384615385","O5","de-protonated","0","-9999","C13 H18 O5","13","18","5","-9999","-9999","-9999","-9999","-9999","-9999"
"94","253.144502","253.144532216","253.144532735","2193993.5","-9999","566804.1","36.23","-1","-0.002052175","0.999999236","0","0.599999542","4","0.285714286","1.571428571","O4","de-protonated","0","-9999","C14 H22 O4","14","22","4","-9999","-9999","-9999","-9999","-9999","-9999"
"97","255.062156","255.06219015","255.062259661","4789727","-9999","528565.1","81.17","-1","-0.272524842","0.967743311","0.974453123","0.970427236","6","0.6","1.2","N2 O6","de-protonated","0","-9999","C10 H12 O6 N2","10","12","6","2","-9999","-9999","-9999","-9999","-9999"
"98","255.087399","255.087433202","255.087411781","1142818.4","-9999","658792.3","17.83","-1","0.083974854","0.998721283","0","0.59923277","5","0.5","1.333333333","O6","de-protonated","0","-9999","C12 H16 O6","12","16","6","-9999","-9999","-9999","-9999","-9999","-9999"
