"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","18O","33S","34S"
"158","279.057327","279.057155614","279.057388756","6540520","-9999","636551.6","108.41","-1","-0.835461172","0.858073587","0.985594011","0.909081757","3","0.444444444","1.888888889","N2 S1 P1 O4","de-protonated","0","-9999","C9 H17 O4 N2 P1 S1","9","17","4","2","1","1","-9999","-9999","-9999","-9999","-9999"
"163","280.060635","280.060464497","280.060743591","751945.8","-9999","845984.1","10.69","-1","-0.996545501","0.835105493","0.985594011","0.8953009","3","0.444444444","1.888888889","13C1 N2 S1 P1 O4","de-protonated","1","158","C8 H17 O4 N2 P1 S1 13C1","8","17","4","2","1","1","1","-9999","-9999","-9999","-9999"
"175","285.099431","285.099264934","285.099313875","606181.9","-9999","575254.4","8.18","-1","-0.171664192","0.994667232","0","0.596800339","10","0.214285714","1","N4 O3","de-protonated","0","-9999","C14 H14 O3 N4","14","14","3","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"176","285.12457","285.124403956","285.124465995","810280.2","-9999","880972.4","11.6","-1","-0.217586619","0.991446298","0","0.594867779","9","0.1875","1.125","N2 O3","de-protonated","0","-9999","C16 H18 O3 N2","16","18","3","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"183","286.984089","286.983924593","286.984210013","937298.3","-9999","639822.4","13.66","-1","-0.994548129","0.835708334","0","0.501425","11","0.214285714","0.571428571","S2 O3","de-protonated","0","-9999","C14 H8 O3 S2","14","8","3","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"186","287.115064","287.114899709","287.11496394","555102.2","-9999","853409.1","7.28","-1","-0.223711941","0.990960139","0","0.594576083","9","0.214285714","1.142857143","N4 O3","de-protonated","0","-9999","C14 H16 O3 N4","14","16","3","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"190","288.981143","288.980980352","288.981232633","897478.3","-9999","588277.1","12.99","-1","-0.873001538","0.870848032","0","0.522508819","11","0.461538462","0.461538462","S1 O6","de-protonated","0","-9999","C13 H6 O6 S1","13","6","6","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"191","289.046618","289.046455409","289.046609596","655756.1","-9999","770221.2","8.95","-1","-0.533432273","0.949679023","0","0.569807414","10","0.461538462","0.769230769","N2 O6","de-protonated","0","-9999","C13 H10 O6 N2","13","10","6","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"196","291.037376","291.037215162","291.037107541","789437.2","-9999","814330.2","11.12","-1","0.369786746","0.975493581","0","0.585296148","10","0.545454545","0.727272727","N4 O6","de-protonated","0","-9999","C11 H8 O6 N4","11","8","6","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"197","291.038927","291.038766164","291.038761311","2228541.3","-9999","737073.9","35.01","-1","0.016673898","0.999949555","0","0.599969733","5","0.777777778","1.444444444","N2 P1 O7","de-protonated","0","-9999","C9 H13 O7 N2 P1","9","13","7","2","1","-9999","-9999","-9999","-9999","-9999","-9999"
"198","291.039584","291.039423164","291.039630691","10384189","-9999","639882.8","170.41","-1","-0.713052516","0.584908272","0.925283829","0.721058495","4","0.2","1.7","N2 S2 P1 O2","de-protonated","0","-9999","C10 H17 O2 N2 P1 S2","10","17","2","2","1","2","-9999","-9999","-9999","-9999","-9999"
"200","291.101044","291.100883218","291.10116832","889922.8","-9999","653686.9","12.79","-1","-0.979390901","0.840257601","0","0.504154561","2","0.076923077","1.923076923","S2 P1 O1","de-protonated","0","-9999","C13 H25 O1 P1 S2","13","25","1","-9999","1","2","-9999","-9999","-9999","-9999","-9999"
"201","291.118935","291.118774234","291.118926385","991812.4","-9999","647112.3","14.48","-1","-0.522641467","0.951644771","0","0.570986863","2","0.230769231","1.923076923","S1 P1 O3","de-protonated","0","-9999","C13 H25 O3 P1 S1","13","25","3","-9999","1","1","-9999","-9999","-9999","-9999","-9999"
