Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,OtoC_ratio,HtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,34S
287,215.165555,215.165340979,215.16526818,2797910.3,-9999,455913,21.06,-1,0.338339279,0.979443172,0,0.587665903,1,0.25,2,O3,de-protonated,0,-9999,C12 H24 O3,12,24,3,-9999,-9999,-9999,-9999,-9999
292,217.072027,217.071816327,217.071761716,5225047,-9999,481937.2,41.42,-1,0.251580103,0.988581344,0,0.593148806,3,0.666666667,1.555555556,O6,de-protonated,0,-9999,C9 H14 O6,9,14,6,-9999,-9999,-9999,-9999,-9999
293,217.10842,217.108209391,217.108147226,3043927.3,-9999,497725,23.07,-1,0.286334284,0.985233616,0,0.59114017,2,0.5,1.8,O5,de-protonated,0,-9999,C10 H18 O5,10,18,5,-9999,-9999,-9999,-9999,-9999
294,217.119614,217.119403411,217.119380615,2119255.3,-9999,433472.2,15.29,-1,0.104992363,0.998001818,0,0.598801091,2,0.444444444,2,N2 O4,de-protonated,0,-9999,C9 H18 O4 N2,9,18,4,2,-9999,-9999,-9999,-9999
296,218.103647,218.103438139,218.103396198,1692251.8,-9999,532251.6,11.7,-1,0.192300079,0.993312612,0,0.595987567,2,0.555555556,1.888888889,N1 O5,de-protonated,0,-9999,C9 H17 O5 N1,9,17,5,1,-9999,-9999,-9999,-9999
299,219.030089,219.029881766,219.029896903,1807971.3,-9999,543925.4,12.67,-1,-0.069109369,0.999133757,0,0.599480254,8,0.454545455,0.727272727,O5,de-protonated,0,-9999,C11 H8 O5,11,8,5,-9999,-9999,-9999,-9999,-9999
300,219.066587,219.06637983,219.066282413,1163235.6,-9999,530845.9,7.25,-1,0.444695255,0.964753954,0,0.578852373,7,0.333333333,1,O4,de-protonated,0,-9999,C12 H12 O4,12,12,4,-9999,-9999,-9999,-9999,-9999
301,219.087648,219.087440867,219.087411781,1514851.9,-9999,530427.4,10.21,-1,0.132762842,0.996806899,0,0.59808414,2,0.666666667,1.777777778,O6,de-protonated,0,-9999,C9 H16 O6,9,16,6,-9999,-9999,-9999,-9999,-9999
302,221.009437,221.009233243,221.009161458,2986624,-9999,480002.9,22.53,-1,0.324802618,0.981039804,0,0.588623883,8,0.6,0.6,O6,de-protonated,0,-9999,C10 H6 O6,10,6,6,-9999,-9999,-9999,-9999,-9999
303,221.045762,221.045558307,221.045546968,2429312.8,-9999,496118.1,17.85,-1,0.051296237,0.999522667,0,0.5997136,7,0.454545455,0.909090909,O5,de-protonated,0,-9999,C11 H10 O5,11,10,5,-9999,-9999,-9999,-9999,-9999
304,221.082175,221.081971371,221.081932477,6347393.5,-9999,440437.4,50.73,-1,0.175923058,0.994400097,0,0.596640058,6,0.333333333,1.166666667,O4,de-protonated,0,-9999,C12 H14 O4,12,14,4,-9999,-9999,-9999,-9999,-9999
305,221.093384,221.09318039,221.093165866,2224001.5,-9999,476237.5,16.13,-1,0.06569089,0.999217302,0,0.599530381,6,0.272727273,1.272727273,N2 O3,de-protonated,0,-9999,C11 H14 O3 N2,11,14,3,2,-9999,-9999,-9999,-9999
306,221.154965,221.154761498,221.154703496,3655810.8,-9999,464851.6,28.14,-1,0.262271413,0.987596384,0,0.592557831,4,0.142857143,1.571428571,O2,de-protonated,0,-9999,C14 H22 O2,14,22,2,-9999,-9999,-9999,-9999,-9999
307,222.090422,222.090220141,222.090068609,1317528.3,-9999,521148.6,8.52,-1,0.682302018,0.918998395,0,0.551399037,1,0.5,2.25,N1 P1 O4,de-protonated,0,-9999,C8 H18 O4 N1 P1,8,18,4,1,1,-9999,-9999,-9999
310,223.025091,223.024890783,223.024811523,4879027,-9999,458275,38.41,-1,0.355387112,0.97734363,0,0.586406178,7,0.6,0.8,O6,de-protonated,0,-9999,C10 H8 O6,10,8,6,-9999,-9999,-9999,-9999,-9999
311,223.061428,223.061227847,223.061197032,2756276.3,-9999,443302.6,20.59,-1,0.13814422,0.996543253,0,0.597925952,6,0.454545455,1.090909091,O5,de-protonated,0,-9999,C11 H12 O5,11,12,5,-9999,-9999,-9999,-9999,-9999
313,223.097819,223.097618911,223.097582542,1527605.3,-9999,328927.7,10.29,-1,0.163019164,0.995189564,0,0.597113738,5,0.333333333,1.333333333,O4,de-protonated,0,-9999,C12 H16 O4,12,16,4,-9999,-9999,-9999,-9999,-9999
317,225.004358,225.004161259,225.004076078,5675263.5,-9999,434286.5,44.96,-1,0.378577024,0.974329898,0,0.584597939,7,0.777777778,0.666666667,O7,de-protonated,0,-9999,C9 H6 O7,9,6,7,-9999,-9999,-9999,-9999,-9999
