Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,OtoC_ratio,HtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O,33S,34S
343,214.988278,214.988156134,214.988049347,1505147.8,-9999,530389,10.13,-1,0.496710817,0.956219952,0,0.573731971,6,0.8,0.8,N4 S1 O4,de-protonated,0,-9999,C5 H4 O4 N4 S1,5,4,4,4,-9999,1,-9999,-9999,-9999,-9999
344,215.002192,215.002070129,215.001968078,1331068.6,-9999,556795.5,8.66,-1,0.474652944,0.959944741,0,0.575966845,5,0.625,1,S1 O5,de-protonated,0,-9999,C8 H8 O5 S1,8,8,5,-9999,-9999,1,-9999,-9999,-9999,-9999
345,215.056304,215.05618211,215.056111652,1898240,-9999,480230.1,13.44,-1,0.32762868,0.980711645,0,0.588426987,4,0.666666667,1.333333333,O6,de-protonated,0,-9999,C9 H12 O6,9,12,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
346,215.092683,215.092561098,215.092497161,3883778.3,-9999,496019.8,30.17,-1,0.297251855,0.984095274,0,0.590457164,3,0.5,1.6,O5,de-protonated,0,-9999,C10 H16 O5,10,16,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
347,215.129048,215.128926085,215.128882671,8592644,-9999,479871.1,69.85,-1,0.201808059,0.992637469,0,0.595582481,2,0.363636364,1.818181818,O4,de-protonated,0,-9999,C11 H20 O4,11,20,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
348,215.140271,215.140149081,215.14011606,1437445.1,-9999,528241.9,9.56,-1,0.153488708,0.995734413,0,0.597440648,2,0.3,2,N2 O3,de-protonated,0,-9999,C10 H20 O3 N2,10,20,3,2,-9999,-9999,-9999,-9999,-9999,-9999
349,215.165463,215.165341073,215.16526818,1807366.8,-9999,477021.5,12.67,-1,0.338775974,0.979390624,0,0.587634374,1,0.25,2,O3,de-protonated,0,-9999,C12 H24 O3,12,24,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999
354,217.071916,217.071793415,217.071761716,2570877.5,-9999,423917.6,19.06,-1,0.146027251,0.996138272,0,0.597682963,3,0.666666667,1.555555556,O6,de-protonated,0,-9999,C9 H14 O6,9,14,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
355,217.108345,217.108222402,217.108147226,2698112,-9999,516058,20.13,-1,0.346262773,0.978479622,0,0.587087773,2,0.5,1.8,O5,de-protonated,0,-9999,C10 H18 O5,10,18,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
356,217.119578,217.119455398,217.119380615,1347456.6,-9999,389448,8.77,-1,0.344434024,0.978703906,0,0.587222343,2,0.444444444,2,N2 O4,de-protonated,0,-9999,C9 H18 O4 N2,9,18,4,2,-9999,-9999,-9999,-9999,-9999,-9999
357,218.103582,218.103459059,218.103396198,1315519,-9999,443530.4,8.51,-1,0.288215405,0.985040422,0,0.591024253,2,0.555555556,1.888888889,N1 O5,de-protonated,0,-9999,C9 H17 O5 N1,9,17,5,1,-9999,-9999,-9999,-9999,-9999,-9999
358,219.030037,219.029913739,219.029896903,1732091,-9999,460296.1,12.01,-1,0.076863884,0.998928565,0,0.599357139,8,0.454545455,0.727272727,O5,de-protonated,0,-9999,C11 H8 O5,11,8,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
359,219.087573,219.087449719,219.087411781,1953790.8,-9999,558010.3,13.87,-1,0.173164763,0.994573848,0,0.596744309,2,0.666666667,1.777777778,O6,de-protonated,0,-9999,C9 H16 O6,9,16,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
361,221.00936,221.009236056,221.009161458,2673537,-9999,495805.6,19.86,-1,0.337529929,0.979540392,0,0.587724235,8,0.6,0.6,O6,de-protonated,0,-9999,C10 H6 O6,10,6,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
362,221.045727,221.045603043,221.045546968,2330755.5,-9999,556768.9,16.99,-1,0.253682126,0.988390851,0,0.59303451,7,0.454545455,0.909090909,O5,de-protonated,0,-9999,C11 H10 O5,11,10,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
363,221.082101,221.081977031,221.081932477,12137094,-9999,458216.3,99.19,-1,0.201524382,0.987046279,0.967412327,0.979192698,6,0.333333333,1.166666667,O4,de-protonated,0,-9999,C12 H14 O4,12,14,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
364,221.093358,221.093234027,221.093165866,2618246.8,-9999,452890.7,19.4,-1,0.308287341,0.982902765,0,0.589741659,6,0.272727273,1.272727273,N2 O3,de-protonated,0,-9999,C11 H14 O3 N2,11,14,3,2,-9999,-9999,-9999,-9999,-9999,-9999
365,221.15487100000001,221.154747005,221.154703496,4081291,-9999,450189.6,31.66,-1,0.196738221,0.993001465,0,0.595800879,4,0.142857143,1.571428571,O2,de-protonated,0,-9999,C14 H22 O2,14,22,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
367,222.085483,222.085358684,222.085287312,2099406,-9999,488327,15.05,-1,0.321372068,0.981434481,0.967412327,0.975825619,6,0.333333333,1.166666667,13C1 O4,de-protonated,1,363,C11 H14 O4 13C1,11,14,4,-9999,-9999,-9999,1,-9999,-9999,-9999
371,222.988758,222.988633372,222.988426014,1179665.5,-9999,424454.7,7.34,-1,0.929908796,0.854785952,0,0.512871571,8,0.777777778,0.444444444,O7,de-protonated,0,-9999,C9 H4 O7,9,4,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999
