Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,OtoC_ratio,HtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O,33S,34S
406,281.030291,281.030192524,281.030128635,1316181,-9999,373243.5,7.98,-1,0.227338622,0.990666049,0,0.59439963,3,0.285714286,2.142857143,N4 S2 P1 O2,de-protonated,0,-9999,C7 H15 O2 N4 P1 S2,7,15,2,4,1,2,-9999,-9999,-9999,-9999
411,283.082514,283.082415788,283.0823264,1854308.3,-9999,343946.9,12.27,-1,0.315765842,0.982070778,0,0.589242467,6,0.538461538,1.230769231,O7,de-protonated,0,-9999,C13 H16 O7,13,16,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999
412,283.137445,283.137346795,283.137339354,2896754.3,-9999,386985.3,20.59,-1,0.026279939,0.999874693,0,0.599924816,4,0.2,1.6,S1 O3,de-protonated,0,-9999,C15 H24 O3 S1,15,24,3,-9999,-9999,1,-9999,-9999,-9999,-9999
413,283.155254,283.155155797,283.155097419,1875830.6,-9999,367042.2,12.45,-1,0.206171043,0.992316919,0,0.595390151,4,0.333333333,1.6,O5,de-protonated,0,-9999,C15 H24 O5,15,24,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
414,283.191598,283.191499802,283.191482928,3412351.8,-9999,385352.6,24.71,-1,0.059584082,0.999356017,0,0.59961361,3,0.25,1.75,O4,de-protonated,0,-9999,C16 H28 O4,16,28,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
415,283.264338,283.264239811,283.264253947,3909522.3,-9999,416355.8,28.67,-1,-0.04990267,0.999548245,0,0.599728947,1,0.111111111,2,O2,de-protonated,0,-9999,C18 H36 O2,18,36,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
420,285.098121,285.098023047,285.097976465,1445082,-9999,284102.9,9,-1,0.163390945,0.99516765,0,0.59710059,5,0.538461538,1.384615385,O7,de-protonated,0,-9999,C13 H18 O7,13,18,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999
421,285.116697,285.11659905,285.116603909,1814110.5,-9999,391537.9,11.95,-1,-0.017044934,0.999947285,0,0.599968371,4,0.285714286,1.571428571,S1 O4,de-protonated,0,-9999,C14 H22 O4 S1,14,22,4,-9999,-9999,1,-9999,-9999,-9999,-9999
422,285.126239,285.126141051,285.126119766,1413728.9,-9999,337627.1,8.75,-1,0.074651818,0.998989317,0,0.59939359,4,0.285714286,1.642857143,P1 O4,de-protonated,0,-9999,C14 H23 O4 P1,14,23,4,-9999,1,-9999,-9999,-9999,-9999,-9999
423,285.134481,285.134383052,285.134361974,2067810.9,-9999,433252.6,13.97,-1,0.073922178,0.999008967,0,0.59940538,4,0.428571429,1.571428571,O6,de-protonated,0,-9999,C14 H22 O6,14,22,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
424,285.207217,285.207119061,285.207132993,6260084.5,-9999,374573.7,47.43,-1,-0.048847288,0.998321326,0.980920909,0.991361159,2,0.25,1.875,O4,de-protonated,0,-9999,C16 H30 O4,16,30,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
426,286.210622,286.21052419,286.210487828,1251431.4,-9999,393834.8,7.46,-1,0.127047577,0.997075506,0.980920909,0.990613667,2,0.25,1.875,13C1 O4,de-protonated,1,424,C15 H30 O4 13C1,15,30,4,-9999,-9999,-9999,1,-9999,-9999,-9999
431,287.22289,287.22279232,287.222783057,3384151.8,-9999,368230.8,24.47,-1,0.032250618,0.999811293,0,0.599886776,1,0.25,2,O4,de-protonated,0,-9999,C16 H32 O4,16,32,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
437,289.12139,289.121292565,289.121034385,1643534.8,-9999,374774.2,10.52,-1,0.892979974,0.865290852,0,0.519174511,3,0.384615385,1.769230769,P1 O5,de-protonated,0,-9999,C13 H23 O5 P1,13,23,5,-9999,1,-9999,-9999,-9999,-9999,-9999
438,290.088244,290.088146689,290.088140057,3822056.5,-9999,362093.3,27.8,-1,0.022862941,0.999905159,0,0.599943095,4,0.727272727,1.545454545,N1 O8,de-protonated,0,-9999,C11 H17 O8 N1,11,17,8,1,-9999,-9999,-9999,-9999,-9999,-9999
442,291.173381,291.173283828,291.173069959,1211992.6,-9999,273329.2,7.09,-1,0.734509276,0.906746583,0,0.54404795,1,0.285714286,2.071428571,P1 O4,de-protonated,0,-9999,C14 H29 O4 P1,14,29,4,-9999,1,-9999,-9999,-9999,-9999,-9999
443,291.209743,291.209645833,291.209455468,33274592,-9999,346298.9,261.51,-1,0.65370352,0.940949151,0.992432297,0.96154241,0,0.2,2.2,P1 O3,de-protonated,0,-9999,C15 H33 O3 P1,15,33,3,-9999,1,-9999,-9999,-9999,-9999,-9999
444,292.213052,292.212954962,292.212810303,5741498.5,-9999,355233.7,43.03,-1,0.495045297,0.956506589,0.992432297,0.970876872,0,0.2,2.2,13C1 P1 O3,de-protonated,1,443,C14 H33 O3 P1 13C1,14,33,3,-9999,1,-9999,1,-9999,-9999,-9999
444,292.213052,292.212954962,292.212946649,5741498.5,-9999,355233.7,43.03,-1,0.028448286,0.999853163,0,0.599911898,0,0.357142857,2.214285714,N1 O5,de-protonated,0,-9999,C14 H31 O5 N1,14,31,5,1,-9999,-9999,-9999,-9999,-9999,-9999
448,293.103206,293.103109076,293.103061845,1348216.4,-9999,373022,8.17,-1,0.161142158,0.995299441,0,0.597179665,7,0.4,1.2,O6,de-protonated,0,-9999,C15 H18 O6,15,18,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
449,293.175932,293.175835086,293.175832864,84794504,-9999,349376.3,670.31,-1,0.007578765,0.996965962,0.99197843,0.994970949,5,0.235294118,1.529411765,O4,de-protonated,0,-9999,C17 H26 O4,17,26,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
450,293.179292,293.179195086,293.179204167,8307848.5,-9999,350218.1,63.39,-1,-0.030974152,0.499912967,0.86849267,0.647344848,0,0.285714286,2.142857143,S1 O4,de-protonated,0,-9999,C14 H30 O4 S1,14,30,4,-9999,-9999,1,-9999,-9999,-9999,-9999
452,294.179298,294.179201215,294.179187699,16080218,-9999,351140.3,125.07,-1,0.045944276,0.996841789,0.99197843,0.994896445,5,0.235294118,1.529411765,13C1 O4,de-protonated,1,449,C16 H26 O4 13C1,16,26,4,-9999,-9999,-9999,1,-9999,-9999,-9999
453,294.184264,294.184167215,294.183968996,4697435.5,-9999,356068.1,34.74,-1,0.673795342,0.920924029,0,0.552554418,0,0.307692308,2.307692308,N1 P1 O4,de-protonated,0,-9999,C13 H30 O4 N1 P1,13,30,4,1,1,-9999,-9999,-9999,-9999,-9999
458,295.118703,295.118606336,295.11871191,1262620.1,-9999,375966.6,7.49,-1,-0.357734197,0.977046855,0,0.586228113,6,0.4,1.333333333,O6,de-protonated,0,-9999,C15 H20 O6,15,20,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
459,295.137445,295.137348338,295.137339354,2114080,-9999,302970.5,14.24,-1,0.0304392,0.999831894,0,0.599899136,5,0.1875,1.5,S1 O3,de-protonated,0,-9999,C16 H24 O3 S1,16,24,3,-9999,-9999,1,-9999,-9999,-9999,-9999
460,295.182704,295.182607344,295.182542534,1848361.1,-9999,416583.3,12.14,-1,0.219558355,0.99406652,0.99197843,0.993231284,5,0.235294118,1.529411765,13C2 O4,de-protonated,1,449,C15 H26 O4 13C2,15,26,4,-9999,-9999,-9999,2,-9999,-9999,-9999
466,297.153086,297.152989597,297.152989419,143351728,-9999,343278,1128.18,-1,6.00524e-4,0.832437139,0.988029922,0.894674252,4,0.1875,1.625,S1 O3,de-protonated,0,-9999,C16 H26 O3 S1,16,26,3,-9999,-9999,1,-9999,-9999,-9999,-9999
467,297.24368,297.243583609,297.243518502,1696967.5,-9999,350251.6,10.87,-1,0.219034737,0.991332559,0,0.594799536,2,0.166666667,1.888888889,O3,de-protonated,0,-9999,C18 H34 O3,18,34,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999
468,298.156453,298.156356726,298.156344254,26275962,-9999,342304,204.73,-1,0.041831699,0.832384239,0.988029922,0.894642512,4,0.1875,1.625,13C1 S1 O3,de-protonated,1,466,C15 H26 O3 S1 13C1,15,26,3,-9999,-9999,1,1,-9999,-9999,-9999
468,298.156453,298.156356726,298.156100477,26275962,-9999,342304,204.73,-1,0.859446733,0.437283298,0.844689208,0.600245662,9,0.117647059,1.235294118,N3 O2,de-protonated,0,-9999,C17 H21 O2 N3,17,21,2,3,-9999,-9999,-9999,-9999,-9999,-9999
471,299.077411,299.077314845,299.07724102,1686572.8,-9999,404638.7,10.78,-1,0.24684165,0.989005077,0,0.593403046,6,0.615384615,1.230769231,O8,de-protonated,0,-9999,C13 H16 O8,13,16,8,-9999,-9999,-9999,-9999,-9999,-9999,-9999
472,299.113707,299.113610849,299.113626529,1613619.8,-9999,322799.2,10.21,-1,-0.052421429,0.999501502,0,0.599700901,5,0.5,1.428571429,O7,de-protonated,0,-9999,C14 H20 O7,14,20,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999
473,299.148887,299.148790854,299.148785248,6885690.5,-9999,349336.9,51.79,-1,0.018738033,0.832426532,0.988029922,0.894667888,4,0.1875,1.625,34S1 O3,de-protonated,1,466,C16 H26 O3 34S1,16,26,3,-9999,-9999,-9999,-9999,-9999,-9999,1
