Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,OtoC_ratio,HtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O,34S
311,214.145049,214.144992165,214.144867088,1976350.3,-9999,607898.5,14.1,-1,0.584080306,0.939975767,0,0.56398546,2,0.272727273,1.909090909,N1 O3,de-protonated,0,-9999,C11 H21 O3 N1,11,21,3,1,-9999,-9999,-9999,-9999,-9999
316,215.056213,215.056155707,215.056111652,1182500.4,-9999,419853.6,7.41,-1,0.204851943,0.992414545,0,0.595448727,4,0.666666667,1.333333333,O6,de-protonated,0,-9999,C9 H12 O6,9,12,6,-9999,-9999,-9999,-9999,-9999,-9999
318,215.092674,215.092616688,215.092497161,3361572.5,-9999,526384,25.77,-1,0.55570022,0.94550902,0,0.567305412,3,0.5,1.6,O5,de-protonated,0,-9999,C10 H16 O5,10,16,5,-9999,-9999,-9999,-9999,-9999,-9999
319,215.129052,215.12899467,215.128882671,15789861,-9999,493413.5,130.46,-1,0.520614778,0.959255365,0.979048658,0.967172682,2,0.363636364,1.818181818,O4,de-protonated,0,-9999,C11 H20 O4,11,20,4,-9999,-9999,-9999,-9999,-9999,-9999
321,216.124319,216.124261169,216.124131643,1636653.3,-9999,536165.6,11.21,-1,0.599312011,0.936906478,0,0.562143887,2,0.4,1.9,N1 O4,de-protonated,0,-9999,C10 H19 O4 N1,10,19,4,1,-9999,-9999,-9999,-9999,-9999
322,216.132389,216.132331164,216.132237506,1473837.4,-9999,640389.3,9.84,-1,0.433340507,0.966500794,0.979048658,0.971519939,2,0.363636364,1.818181818,13C1 O4,de-protonated,1,319,C10 H20 O4 13C1,10,20,4,-9999,-9999,-9999,1,-9999,-9999
326,217.071935,217.071876691,217.071761716,2200375.3,-9999,573759.8,15.94,-1,0.529663279,0.950369718,0,0.570221831,3,0.666666667,1.555555556,O6,de-protonated,0,-9999,C9 H14 O6,9,14,6,-9999,-9999,-9999,-9999,-9999,-9999
327,217.10831,217.108251673,217.108147226,2637367.8,-9999,520220.3,19.61,-1,0.481084065,0.958874743,0,0.575324846,2,0.5,1.8,O5,de-protonated,0,-9999,C10 H18 O5,10,18,5,-9999,-9999,-9999,-9999,-9999,-9999
328,217.144646,217.144587655,217.144532735,1495736.3,-9999,444584.5,10.02,-1,0.252917344,0.988460337,0,0.593076202,1,0.363636364,2,O4,de-protonated,0,-9999,C11 H22 O4,11,22,4,-9999,-9999,-9999,-9999,-9999,-9999
329,218.085623,218.085564181,218.085638133,1151685.1,-9999,383026.7,7.13,-1,-0.339098141,0.979351815,0,0.587611089,2,0.333333333,1.888888889,N1 S1 O3,de-protonated,0,-9999,C9 H17 O3 N1 S1,9,17,3,1,-9999,1,-9999,-9999,-9999
330,218.103553,218.103494172,218.103396198,1521989.4,-9999,567551.1,10.24,-1,0.44920802,0.964048052,0,0.578428831,2,0.555555556,1.888888889,N1 O5,de-protonated,0,-9999,C9 H17 O5 N1,9,17,5,1,-9999,-9999,-9999,-9999,-9999
332,219.087511,219.087451676,219.087411781,1140054.4,-9999,466125.1,7.03,-1,0.182097606,0.99400131,0,0.596400786,2,0.666666667,1.777777778,O6,de-protonated,0,-9999,C9 H16 O6,9,16,6,-9999,-9999,-9999,-9999,-9999,-9999
333,221.009315,221.009254708,221.009161458,1950851.8,-9999,522004,13.81,-1,0.421926562,0.96821427,0,0.580928562,8,0.6,0.6,O6,de-protonated,0,-9999,C10 H6 O6,10,6,6,-9999,-9999,-9999,-9999,-9999,-9999
334,221.045691,221.04563069,221.045546968,1460484.8,-9999,437124.3,9.7,-1,0.378754358,0.974306156,0,0.584583693,7,0.454545455,0.909090909,O5,de-protonated,0,-9999,C11 H10 O5,11,10,5,-9999,-9999,-9999,-9999,-9999,-9999
335,221.082092,221.082031671,221.081932477,29904774,-9999,462973.7,248.04,-1,0.448676556,0.963701693,0.990287187,0.97433589,6,0.333333333,1.166666667,O4,de-protonated,0,-9999,C12 H14 O4,12,14,4,-9999,-9999,-9999,-9999,-9999,-9999
336,221.093392,221.093331666,221.093165866,1141638.1,-9999,464983.6,7.03,-1,0.749906936,0.90299383,0,0.541796298,6,0.272727273,1.272727273,N2 O3,de-protonated,0,-9999,C11 H14 O3 N2,11,14,3,2,-9999,-9999,-9999,-9999,-9999
337,221.154858,221.154797635,221.154703496,5566344,-9999,498557.5,44.1,-1,0.425670033,0.967657003,0,0.580594202,4,0.142857143,1.571428571,O2,de-protonated,0,-9999,C14 H22 O2,14,22,2,-9999,-9999,-9999,-9999,-9999,-9999
338,222.085449,222.085388166,222.085287312,4256165.5,-9999,451121,33.12,-1,0.454122149,0.963271857,0.990287187,0.974077989,6,0.333333333,1.166666667,13C1 O4,de-protonated,1,335,C11 H14 O4 13C1,11,14,4,-9999,-9999,-9999,1,-9999,-9999
342,223.024987,223.024925693,223.024811523,3269577,-9999,466347.3,24.86,-1,0.511915866,0.953562743,0,0.572137646,7,0.6,0.8,O6,de-protonated,0,-9999,C10 H8 O6,10,8,6,-9999,-9999,-9999,-9999,-9999,-9999
343,223.06136,223.061298675,223.061197032,1310922.5,-9999,518729.1,8.45,-1,0.455669883,0.963025772,0,0.577815463,6,0.454545455,1.090909091,O5,de-protonated,0,-9999,C11 H12 O5,11,12,5,-9999,-9999,-9999,-9999,-9999,-9999
344,223.097793,223.097731656,223.097582542,1459916,-9999,467709.6,9.69,-1,0.668382721,0.922138765,0,0.553283259,5,0.333333333,1.333333333,O4,de-protonated,0,-9999,C12 H16 O4,12,16,4,-9999,-9999,-9999,-9999,-9999,-9999
349,225.004228,225.004165696,225.004076078,2654503.5,-9999,463342.7,19.65,-1,0.398294752,0.97162555,0,0.58297533,7,0.777777778,0.666666667,O7,de-protonated,0,-9999,C9 H6 O7,9,6,7,-9999,-9999,-9999,-9999,-9999,-9999
350,225.040654,225.040591678,225.040461587,1233705.5,-9999,387049.9,7.78,-1,0.578074916,0.941166874,0,0.564700125,6,0.6,1,O6,de-protonated,0,-9999,C10 H10 O6,10,10,6,-9999,-9999,-9999,-9999,-9999,-9999
351,225.077029,225.076966659,225.076847097,1550507.5,-9999,415943,10.42,-1,0.531207792,0.950087207,0,0.570052324,5,0.454545455,1.272727273,O5,de-protonated,0,-9999,C11 H14 O5,11,14,5,-9999,-9999,-9999,-9999,-9999,-9999
352,225.113419,225.113356641,225.113232606,1712941.5,-9999,534013.9,11.78,-1,0.550988917,0.946403956,0,0.567842373,4,0.333333333,1.5,O4,de-protonated,0,-9999,C12 H18 O4,12,18,4,-9999,-9999,-9999,-9999,-9999,-9999
353,225.149779,225.149716623,225.149618115,1185711.6,-9999,519200.5,7.37,-1,0.437518987,0.965862855,0,0.579517713,3,0.230769231,1.692307692,O3,de-protonated,0,-9999,C13 H22 O3,13,22,3,-9999,-9999,-9999,-9999,-9999,-9999
