Calibrated m/z,HJW_MQ_Blk-1_p05,HJW_MQ_Blk-2_p05
419.219840793559,8871422,4593908.5
435.214555762512,28720188,15897773
451.209332578462,2621091.3,1928380
467.204423143803,2796676.3,1494272.9
451.227103012821,1592488.4,808129.5
483.199070210739,2283227.8,1223970.4
437.230433779573,1721895,1085901.6
453.225295115813,2435308.8,1247032.3
469.220360673432,2891605.3,2581748.5
485.214705730126,2784315,2859152.8
501.210107386795,2136854.3,3026342.3
423.251016117076,2307954.8,1254590.4
439.246063958107,30638108,17852664
487.230906831182,1496490.4,919309.1
673.262680569929,5413794.5,7608256.5
440.945463006007,932554.8,2455252.5
442.960933237413,4409299.5,11582739
408.999581847888,1097069.6,2038204.1
540.982312624747,17423572,14985528
351.1024708097,5905468,5590408
430.075793810113,2206587.5,977001
321.128797570222,2185621.3,1045604.1
323.144391516643,1946017.9,906694.8
338.15485189349,632381.2,938355.6
370.127337196901,1297402.4,939861.1
325.160075463195,16622264,8488626
341.155026844815,1548242.3,1279030.4
479.184377163825,5188182,2314360.3
430.215682345194,1067163.9,749964.9
477.188760447412,940849.3,1163582.3
527.224896491899,2310250,1356251
463.209296198387,1997095.8,4816472
479.204337014878,1826910.1,2421376.8
449.230536387586,4714098,2662487.8
465.224984333907,2250195,1787690.9
481.220341442464,2095516.3,1745874.1
497.214706966153,1516429.3,1130519.6
481.23771334818,3581347.5,1989081.6
467.240922850016,1305745,1597454.3
483.235617285722,1249515.4,1765170.3
499.230822600188,862036,1830881.8
473.276005449785,5417274.5,2080278.4
671.261426019962,5915034.5,9340399
545.002398971735,4421102.5,2975317.8
563.987642123553,8819402,4419455.5
635.007830082792,3255326.5,2815838.3
554.105687205433,2204416.3,1181054.9
601.10604903915,3007740,2224637
540.126471717308,2383591.3,2354507.5
556.121058822349,7800772.5,3880011.8
542.142016284392,7544689.5,3499990.3
558.136723712041,3197075.8,2316068.5
481.144099760659,1023868.6,1045169.7
497.13893281069,1865577,1886707.1
467.164757127933,2329718.3,908530.1
483.159788527292,19519690,18142482
499.154129946343,5684527,5055933
521.214385095224,989319.8,1044740.4
473.220970266607,791333.5,1596672.9
475.209274818343,3347492.3,2713113.8
491.22228077976,5141157.5,2844444.8
541.240376340281,2072936.9,1425869.3
477.22522920537,1560895.8,1314893.1
493.220235552317,2385466.3,2140345.3
477.242542730511,979910.9,834900.5
493.237565171766,1304130.5,1166529.6
559.251102368881,1821505,2786263.8
575.246005919073,1155166.6,2460799.3
463.245768121894,1094707.9,876388.6
479.241097655873,10084973,6213264
495.235863358738,2074597.5,972010.8
495.253672019589,13262318,8225395.5
539.27230844173,1015292.9,1038177
565.297852159698,2177031.3,2717382.5
574.98523364294,16297648,2473421.8
530.940219540887,3605123.3,1573614.1
754.970711392215,33863416,2674588.3
804.971042877758,53470072,8734441
377.166100486253,8037913,4048610.5
637.024738138432,1374754.5,1692061.1
481.150538353974,2477951.5,2425780.5
479.146738896706,2660934.8,1950824.6
535.229994868281,972281.5,1089631.4
519.235166256994,1465178.4,1245658.9
537.24550068521,1999477.3,1493721.6
473.229939619815,1695016.9,1128964.4
489.225293623791,14664480,8462222
505.220296566915,2093273,1491818.8
539.261416231983,1327862.6,1319770.5
475.245570078198,3139634.5,2047016.5
491.240821777628,3800750,2562853.5
507.235925159772,2091729.9,2145635
703.185474963613,4025952,3375043
461.266410289776,1751206.3,869805.6
477.261648167539,3663694.3,1932636.1
493.256617318128,41257548,25577162
509.250995660605,2000598.4,1908069.9
547.258706662051,2175767,1219457.8
575.281992435131,1120119.1,3298456.3
479.27683271191,1237627.8,871326.9
481.292791092745,2662842.5,1539568.9
673.258904976589,1813405.9,3071932
526.971727102393,4083165.8,1963599.1
540.987624059019,30371030,28059964
539.166946557352,937664.8,1346852.6
586.168012236156,4271346.5,2421426.3
541.183060719162,12676424,13912492
558.118382989,2667656.3,1835801
544.139053461492,2509815.3,1054813.8
633.186118032536,2194681.3,1708545.6
551.26101945832,1305175.4,1079500
519.271330983433,7759214,926446.3
585.266782835309,1274989.5,1067038.1
521.250844944571,1696155.6,1821720.1
701.188914289539,10191606,9523426
609.323595374239,2371908,3690287.5
520.997413937579,2808082.3,3162511.3
527.11003911109,4058666,1478811.3
816.041618507112,3656766.3,10375113
539.203914486291,9369813,1068601.3
561.245525597572,1238036.5,1240246.9
563.261002414518,2024192.9,1994160.9
547.266082379795,18864924,11409286
565.276748231307,1636345.9,2094776.9
581.271372842713,1835376.5,1400033.9
486.278170774907,879112.8,869733.8
567.29235104818,1171456.1,1181135.5
583.287220659442,1429235,1258115.3
535.302551825691,3801122.8,2235016.8
551.297133437122,2002541,1753313.9
598.948336186984,4187734.8,6617377
694.917900334013,6967166,4628251
661.13415180354,2313387.3,1718669.4
543.179965678794,4217290.5,4113968
579.292103004514,1121816.6,1358701.6
595.287041615735,1232202.8,1227710.9
550.266500745027,1701895.5,1087609.4
754.88510584329,2955904.3,3708699.3
429.067169715754,1466514.8,751719.1
661.040973906767,11702331,25425180
475.148211621184,1749260.6,1721857.3
587.260824326999,1799685.3,1093080.4
591.292092960707,1366925.3,1403820.8
549.402305721187,1151239.1,1457270.8
788.972007137972,15917131,5703275.5
804.966545771454,23241588,3696356.3
754.975069096746,81295104,7484322
579.030749791154,1277285.4,3262134.8
535.115605612192,1814456.3,2006046.3
