Calibrated m/z,C,H,O,N,S,P,Molecular Formula,Is Isotopologue,Heteroatom Class,Calculated m/z,m/z Error (ppm)
297.112329175354,10,22,6,2,1,NA,C10H22O6N2S1,0,N2 S1 O6,297.112581157419,-0.848102978527958
329.102143797419,10,22,8,2,1,NA,C10H22O8N2S1,0,N2 S1 O8,329.102410396559,-0.810079572706825
361.074619976654,10,22,8,2,2,NA,C10H22O8N2S2,0,N2 S2 O8,361.074481570959,0.383316191937432
342.107430523,10,22,8,3,-9999,1,C10H22O8N3P1,0,N3 P1 O8,342.107175225,0.746250188
301.096353607507,10,22,8,NA,1,NA,C10H22O8S1,0,S1 O8,301.096262387699,0.302958952735679
377.069213871392,10,22,9,2,2,NA,C10H22O9N2S2,0,N2 S2 O9,377.069396190529,-0.483516135325232
374.105401674,10,23,10,2,-9999,1,C10H23O10N2P113C1,1,13C1 N2 P1 O10,374.105110327,0.778782564
265.132523527,10,23,4,2,-9999,1,C10H23O4N2P1,0,N2 P1 O4,265.132267775,0.964620381
297.104291317,10,23,4,2,1,1,C10H23O4N2P1S1,0,N2 S1 P1 O4,297.104338949,-0.160320624
237.126329898,10,23,4,-9999,-9999,1,C10H23O4P1,0,P1 O4,237.126119766,0.886162804
313.099563642,10,23,5,2,1,1,C10H23O5N2P1S1,0,N2 S1 P1 O5,313.099253568,0.99033752
317.065139014587,10,23,5,NA,2,1,C10H23O5P1S2,0,S2 P1 O5,317.065176734039,-0.118964348807867
269.116171581,10,23,6,-9999,-9999,1,C10H23O6P1,0,P1 O6,269.115949005,0.827062693
285.110955986,10,23,7,-9999,-9999,1,C10H23O7P1,0,P1 O7,285.110863624,0.323950454
349.055205119,10,23,7,-9999,2,1,C10H23O7P1S2,0,S2 P1 O7,349.055005973,0.57052881
329.112125644,10,23,8,2,-9999,1,C10H23O8N2P1,0,N2 P1 O8,329.111926253,0.605847057
395.051709198808,10,23,8,2,1,1,C10H23O8N2P1S134S1,1,N2 S1 34S1 P1 O8,395.051864431209,-0.392941825847286
301.106062682,10,23,8,-9999,-9999,1,C10H23O8P1,0,P1 O8,301.105778244,0.944645388
314.109360557,10,23,8,-9999,-9999,1,C10H23O8P113C1,1,13C1 P1 O8,314.109133079,0.724201216
365.0499929,10,23,8,-9999,2,1,C10H23O8P1S2,0,S2 P1 O8,365.049920593,0.198073759
358.110530215,10,23,9,2,-9999,1,C10H23O9N2P113C1,1,13C1 N2 P1 O9,358.110195707,0.934092127
381.044952949,10,23,9,-9999,2,1,C10H23O9P1S2,0,S2 P1 O9,381.044835212,0.308982889
280.143413926,10,24,4,3,-9999,1,C10H24O4N3P1,0,N3 P1 O4,280.143166811,0.88210258
268.132091794632,10,24,5,1,NA,1,C10H24O5N1P1,0,N1 P1 O5,268.131933421899,0.590652261337703
331.118258485314,10,24,8,2,1,NA,C10H24O8N2S1,0,N2 S1 O8,331.118060461019,0.598047397832819
396.056107319096,10,24,9,1,2,1,C10H24O9N1P1S2,0,N1 S2 P1 O9,396.055734248979,0.941963680224149
347.113198140624,10,24,9,2,1,NA,C10H24O9N2S1,0,N2 S1 O9,347.112975080589,0.642615088118698
379.085014622547,10,24,9,2,2,NA,C10H24O9N2S2,0,N2 S2 O9,379.085046254989,-0.0834441820680258
380.086892663705,10,25,10,NA,1,1,C10H25O10P1S113C1,1,13C1 S1 P1 O10,380.086683557019,0.550155252640856
266.154366196589,10,25,3,3,1,NA,C10H25O3N3S1,0,N3 S1 O3,266.154386399829,-0.0759079733482186
280.151535807,10,25,4,2,-9999,1,C10H25O4N2P113C1,1,13C1 N2 P1 O4,280.151272674,0.939252323
376.1032312,10,25,8,2,1,1,C10H25O8N2P1S113C1,1,13C1 N2 S1 P1 O8,376.103002327,0.608537678
211.026021988359,10,4,2,4,NA,NA,C10H4O2N4,0,N4 O2,211.026148933459,-0.601560995862406
227.020970183009,10,4,3,4,NA,NA,C10H4O3N4,0,N4 O3,227.021063553029,-0.411283512157465
187.003580467347,10,4,4,NA,NA,NA,C10H4O4,0,O4,187.003682154879,-0.543772889267511
262.976647164284,10,4,5,2,1,NA,C10H4O5N2S1,0,N2 S1 O5,262.976815957709,-0.641856676887425
262.99435384343,10,4,7,2,NA,NA,C10H4O7N2,0,N2 O7,262.994574022449,-0.837199853162589
298.932351997584,10,4,7,NA,2,NA,C10H4O7S2,0,S2 O7,298.932568362389,-0.723791342969497
342.933764674409,10,4,8,2,2,NA,C10H4O8N2S2,0,N2 S2 O8,342.933630990819,0.389823505392322
306.995875997659,10,4,8,4,NA,NA,C10H4O8N4,0,N4 O8,306.995636650879,0.77964228636636
335.993718420247,10,4,9,4,NA,NA,C10H4O9N413C1,1,13C1 N4 O9,335.993906105519,-0.558597248943374
330.922620829114,10,4,9,NA,2,NA,C10H4O9S2,0,S2 O9,330.922397601529,0.674561730523938
265.976584201743,10,5,6,1,1,NA,C10H5O6N1S1,0,N1 S1 O6,265.976481605079,0.385735849924557
205.014084611467,10,6,5,NA,NA,NA,C10H6O5,0,O5,205.014246838909,-0.791298384123482
221.008988300759,10,6,6,NA,NA,NA,C10H6O6,0,O6,221.009161458479,-0.783486617401697
300.948070128077,10,6,7,NA,2,NA,C10H6O7S2,0,S2 O7,300.948218426849,-0.492771723106934
252.999123248262,10,6,8,NA,NA,NA,C10H6O8,0,O8,252.998990697619,0.523917673612562
322.014369050098,10,6,8,4,NA,NA,C10H6O8N413C1,1,13C1 N4 O8,322.014641550409,-0.846235779528009
249.007057040569,10,7,4,2,NA,1,C10H7O4N2P1,0,N2 P1 O4,249.007067258849,-0.0410361033815921
312.986683754661,10,7,8,2,NA,1,C10H7O8N2P1,0,N2 P1 O8,312.986725737129,-0.134134980158792
343.983305294807,10,7,9,3,1,NA,C10H7O9N3S1,0,N3 S1 O9,343.983023537109,0.819103498379338
313.978615596683,10,7,9,NA,NA,1,C10H7O9P113C1,1,13C1 P1 O9,313.978847182909,-0.737585441311337
199.062452301774,10,8,1,4,NA,NA,C10H8O1N4,0,N4 O1,199.062534442809,-0.412639349295664
207.012240116189,10,8,3,NA,1,NA,C10H8O3S1,0,S1 O3,207.012138838629,0.489234882786963
219.040960841196,10,8,4,2,NA,NA,C10H8O4N2,0,N2 O4,219.041130292659,-0.77360568139015
207.029863982776,10,8,5,NA,NA,NA,C10H8O5,0,O5,207.029896903369,-0.159013714410412
235.036268067112,10,8,5,2,NA,NA,C10H8O5N2,0,N2 O5,235.036044912229,0.94944961667495
223.024867384646,10,8,6,NA,NA,NA,C10H8O6,0,O6,223.024811522939,0.250473058657123
239.019936930363,10,8,7,NA,NA,NA,C10H8O7,0,O7,239.019726142509,0.881884760146751
295.032305817347,10,8,7,4,NA,NA,C10H8O7N4,0,N4 O7,295.032022160229,0.961445188407006
362.959603343259,10,8,9,2,2,NA,C10H8O9N2S2,0,N2 S2 O9,362.959845739309,-0.667831586770307
251.022701007659,10,9,4,2,NA,1,C10H9O4N2P1,0,N2 P1 O4,251.022717323309,-0.0649967071404077
267.017717327566,10,9,5,2,NA,1,C10H9O5N2P1,0,N2 P1 O5,267.017631942879,0.319771717289842
343.9827475027,10,9,7,2,1,1,C10H9O7N2P1S113C1,1,13C1 N2 S1 P1 O7,343.982887191489,-0.406092263819498
364.973911799968,10,9,8,2,1,1,C10H9O8N2P1S118O1,1,N2 S1 P1 O8 18O1,364.973606588849,0.836255316753202
363.968963410785,10,9,9,2,NA,1,C10H9O9N2P133S1,1,N2 33S1 P1 O9,363.968749330959,0.588181886740297
362.969690333,10,9,9,2,1,1,C10H9O9N2P1S1,0,N2 S1 P1 O9,362.969361596,0.905689697
314.026721611972,10,9,9,3,NA,NA,C10H9O9N3,0,N3 O9,314.026602427169,0.37953728111779
364.964166262816,11,10,10,NA,2,NA,C11H10O10S2,0,S2 O10,364.964262414479,-0.263455009052398
185.071981217104,11,10,1,2,NA,NA,C11H10O1N2,0,N2 O1,185.072036498409,-0.298701557179045
221.009916582936,11,10,1,NA,2,NA,C11H10O1S2,0,S2 O1,221.010030838349,-0.516969355725549
229.073063611386,11,10,2,4,NA,NA,C11H10O2N4,0,N4 O2,229.073099126839,-0.155039822478645
252.999774723876,11,10,3,NA,2,NA,C11H10O3S2,0,S2 O3,252.999860077489,-0.337366248126057
221.045639055686,11,10,5,NA,NA,NA,C11H10O5,0,O5,221.045546967829,0.416601273843916
