Calibrated m/z,Molecular Formula,MolForm,molecular_formula_clean,molform_clean,exact_match,whitespace_normalized_match
423.266580972,C24H41O4P1,C24H41O4P,C24H41O4P1,C24H41O4P,FALSE,FALSE
455.238849152,C24H41O4P1S1,C24H41O4SP,C24H41O4P1S1,C24H41O4SP,FALSE,FALSE
487.21107372,C24H41O4P1S2,C24H41O4S2P,C24H41O4P1S2,C24H41O4S2P,FALSE,FALSE
467.267610624,C24H41O5N2P1,C24H41O5N2P,C24H41O5N2P1,C24H41O5N2P,FALSE,FALSE
499.240170003,C24H41O5N2P1S1,C24H41O5N2SP,C24H41O5N2P1S1,C24H41O5N2SP,FALSE,FALSE
471.233550221,C24H41O5P1S1,C24H41O5SP,C24H41O5P1S1,C24H41O5SP,FALSE,FALSE
503.205945977,C24H41O5P1S2,C24H41O5S2P,C24H41O5P1S2,C24H41O5S2P,FALSE,FALSE
483.262749146,C24H41O6N2P1,C24H41O6N2P,C24H41O6N2P1,C24H41O6N2P,FALSE,FALSE
515.234824898,C24H41O6N2P1S1,C24H41O6N2SP,C24H41O6N2P1S1,C24H41O6N2SP,FALSE,FALSE
511.268870632,C24H41O6N4P1,C24H41O6N4P,C24H41O6N4P1,C24H41O6N4P,FALSE,FALSE
487.228586289,C24H41O6P1S1,C24H41O6SP,C24H41O6P1S1,C24H41O6SP,FALSE,FALSE
519.200585255,C24H41O6P1S2,C24H41O6S2P,C24H41O6P1S2,C24H41O6S2P,FALSE,FALSE
499.257480618,C24H41O7N2P1,C24H41O7N2P,C24H41O7N2P1,C24H41O7N2P,FALSE,FALSE
527.264025515,C24H41O7N4P1,C24H41O7N4P,C24H41O7N4P1,C24H41O7N4P,FALSE,FALSE
471.251925094,C24H41O7P1,C24H41O7P,C24H41O7P1,C24H41O7P,FALSE,FALSE
503.223485187,C24H41O7P1S1,C24H41O7SP,C24H41O7P1S1,C24H41O7SP,FALSE,FALSE
535.195675994,C24H41O7P1S2,C24H41O7S2P,C24H41O7P1S2,C24H41O7S2P,FALSE,FALSE
515.252795261,C24H41O8N2P1,C24H41O8N2P,C24H41O8N2P1,C24H41O8N2P,FALSE,FALSE
543.258784943,C24H41O8N4P1,C24H41O8N4P,C24H41O8N4P1,C24H41O8N4P,FALSE,FALSE
487.247084386,C24H41O8P1,C24H41O8P,C24H41O8P1,C24H41O8P,FALSE,FALSE
519.218197544,C24H41O8P1S1,C24H41O8SP,C24H41O8P1S1,C24H41O8SP,FALSE,FALSE
551.190501733,C24H41O8P1S2,C24H41O8S2P,C24H41O8P1S2,C24H41O8S2P,FALSE,FALSE
531.247606563,C24H41O9N2P1,C24H41O9N2P,C24H41O9N2P1,C24H41O9N2P,FALSE,FALSE
559.253822413,C24H41O9N4P1,C24H41O9N4P,C24H41O9N4P1,C24H41O9N4P,FALSE,FALSE
503.241872098,C24H41O9P1,C24H41O9P,C24H41O9P1,C24H41O9P,FALSE,FALSE
535.214123928,C24H41O9P1S1,C24H41O9SP,C24H41O9P1S1,C24H41O9SP,FALSE,FALSE
534.247581303,C24H42O10N1P1,C24H42O10NP,C24H42O10N1P1,C24H42O10NP,FALSE,FALSE
566.219937542,C24H42O10N1P1S1,C24H42O10NSP,C24H42O10N1P1S1,C24H42O10NSP,FALSE,FALSE
614.186509284,C24H42O11N1P1S2,C24H42O11NS2P,C24H42O11N1P1S2,C24H42O11NS2P,FALSE,FALSE
578.24812766,C24H42O11N3P1,C24H42O11N3P,C24H42O11N3P1,C24H42O11N3P,FALSE,FALSE
566.236937577,C24H42O12N1P1,C24H42O12NP,C24H42O12N1P1,C24H42O12NP,FALSE,FALSE
582.231976393,C24H42O13N1P1,C24H42O13NP,C24H42O13N1P1,C24H42O13NP,FALSE,FALSE
598.226599209,C24H42O14N1P1,C24H42O14NP,C24H42O14N1P1,C24H42O14NP,FALSE,FALSE
438.278172045,C24H42O4N1P1,C24H42O4NP,C24H42O4N1P1,C24H42O4NP,FALSE,FALSE
470.249588362,C24H42O4N1P1S1,C24H42O4NSP,C24H42O4N1P1S1,C24H42O4NSP,FALSE,FALSE
502.22218524,C24H42O4N1P1S2,C24H42O4NS2P,C24H42O4N1P1S2,C24H42O4NS2P,FALSE,FALSE
486.244596761,C24H42O5N1P1S1,C24H42O5NSP,C24H42O5N1P1S1,C24H42O5NSP,FALSE,FALSE
518.216547055,C24H42O5N1P1S2,C24H42O5NS2P,C24H42O5N1P1S2,C24H42O5NS2P,FALSE,FALSE
482.279394138,C24H42O5N3P1,C24H42O5N3P,C24H42O5N3P1,C24H42O5N3P,FALSE,FALSE
486.262636353,C24H42O7N1P1,C24H42O7NP,C24H42O7N1P1,C24H42O7NP,FALSE,FALSE
550.206456352,C24H42O7N1P1S2,C24H42O7NS2P,C24H42O7N1P1S2,C24H42O7NS2P,FALSE,FALSE
502.257963437,C24H42O8N1P1,C24H42O8NP,C24H42O8N1P1,C24H42O8NP,FALSE,FALSE
566.201383751,C24H42O8N1P1S2,C24H42O8NS2P,C24H42O8N1P1S2,C24H42O8NS2P,FALSE,FALSE
530.264133824,C24H42O8N3P1,C24H42O8N3P,C24H42O8N3P1,C24H42O8N3P,FALSE,FALSE
582.19687615,C24H42O9N1P1S2,C24H42O9NS2P,C24H42O9N1P1S2,C24H42O9NS2P,FALSE,FALSE
581.230003234,C24H43O10N2P1S1,C24H43O10N2SP,C24H43O10N2P1S1,C24H43O10N2SP,FALSE,FALSE
