#Samples have International Generic Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration). This file maps between sample names and IGSNs. It conforms to the ESS-DIVE Sample ID and Metadata Reporting Format (IGSN-ESS) v1.1.0 (Damerow et al. 2020). Some information may be repeated between the field metadata file and this file. Parent_IGSN is the IGSN for each site ID. The original site ID is listed in the Locality column.,,,,,,,,,,,,,,,,,,,,
Sample_Name,IGSN,Parent_IGSN,Material,Field_Name_Informal_Classification,Collection_Method,Collection_Method_Description,Comment,Latitude,Longitude,Primary_Physiographic_Feature,Physiographic_Feature_Name,Locality,Locality_Description,Country,State_or_Province,Field_Program_Cruise,Collector_Chief_Scientist,Collection_Date,Related_URL,Related_URL_Type
HJW_34_Water,10.58052/IEWDR02AQ,10.58052/IEWDR029E,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.221167,-122.222992,stream,N/A,KC-2,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-29,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_35_Water,10.58052/IEWDR02AR,10.58052/IEWDR029F,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.220877,-122.223152,stream,N/A,KC-3,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-29,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_36_Water,10.58052/IEWDR02AS,10.58052/IEWDR029G,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.219678,-122.167744,stream,Mack Creek,72,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-29,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_37_Water,10.58052/IEWDR02AT,10.58052/IEWDR029H,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.22107,-122.170224,stream,Saddle Creek,73,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-29,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_38_Water,10.58052/IEWDR02AU,10.58052/IEWDR029I,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.231616,-122.215742,stream,Lookout Creek,55,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-30,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_39_Water,10.58052/IEWDR02AV,10.58052/IEWDR029J,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.210028,-122.257217,stream,Lookout Creek,162,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-30,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_40_Water,10.58052/IEWDR02AW,10.58052/IEWDR029K,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.230631,-122.190671,stream,N/A,192,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-29,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_41_Water,10.58052/IEWDR02AX,10.58052/IEWDR029L,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.20615,-122.25531,stream,N/A,WS1-4,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-08-01,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_42_Water,10.58052/IEWDR02AY,10.58052/IEWDR029M,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.238115,-122.156255,stream,N/A,60,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-30,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_43_Water,10.58052/IEWDR02AZ,10.58052/IEWDR029N,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.272555,-122.13991,stream,N/A,169,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-30,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
