Column_or_Row_Name,Unit,Definition,Data_Type,Term_Type,Missing_Value_Code,Reported_Precision
Confidence_Score,N/A,"Value (0-1) given by CoreMS to the assigned molecular formula with 1 being the highest confidence (e.g., approximate likelihood of being accurate).",numeric,column_header,-9999,0.0000001
Country,N/A,Country where sample was collected.,text,column_header,N/A,-9999
Data_Status,N/A,State of data readiness for publication and use.,text,row_header,N/A,-9999
Data_Type,N/A,Type of data (numeric; text; date; time; datetime).,text,column_header,N/A,-9999
Date,YYYY-MM-DD,Date of sample collection.,date,column_header,-9999,-9999
DBE,N/A,"Double bond equivalent or degree of unsaturation calculated as per Koch and Dittmar (2006, 2016).",numeric,column_header,-9999,1
DBE_1,N/A,"Double bond equivalent or degree of unsaturation calculated as per Koch and Dittmar (2006, 2016).",numeric,column_header,-9999,1
DBE_AI,N/A,"The minimum number of C-C double bonds plus rings in a common molecular structure containing heteroatoms. Calculated as per Koch and Dittmar (2006, 2016).",numeric,column_header,-9999,1
DBE_O,N/A,"Double bond equivalent minus Oxygen calculated as per Koch and Dittmar (2006, 2016).",numeric,column_header,-9999,1
Definition,N/A,Description of the information in a given column or row in the dataset.,text,column_header,N/A,-9999
delGcox0PerCmol,kJ per C mol,Gibbs free energy of the carbon oxidation half reaction under standard conditions (pH = 0). Calculated as  per LaRowe and Van Cappellen (2011).,numeric,column_header,-9999,0.00000001
delGcoxPerCmol,kJ per C mol,Gibbs free energy of the carbon oxidation half reaction at pH 7. Calculated as per Song et al. (2020).,numeric,column_header,-9999,0.00001
delGd,kJ per Compound mol,Gibbs free energy of the carbon oxidation half reaction per compound mol at pH 7. Calculated as per Song et al. (2020).,numeric,column_header,-9999,0.0001
delGd0,kJ per Compound mol,Gibbs free energy of the carbon oxidation half reaction per compound mol at pH 0. Calculated as per Song et al. (2020).,numeric,column_header,-9999,0.1
Depositional_Type,N/A,Depositional zone type. From provided controlled vocabulary with option to write in other terms.,text,column_header,N/A,-9999
Dissolved_Oxygen,milligrams per liter,Dissolved oxygen measured during sample collection.,numeric,column_header,-9999,0.01
