Calibrated_Mass,C,H,O,N,S,P,Is_Isotopologue,Heteroatom_Class,Calculated_Mass,Error_ppm,MolForm,AI,AI_Mod,DBE_1,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd
271.049057989,10,13,5,2,0,1,0,N2 P1 O5,271.048932072,0.464554702,C10H13O5N2P,0,0.111111111,6,1,-2,66,270.746402189,0.253597811,-0.2,0.5,1.3,0.2,0.1,2,Lignin,Lignin,Protein,66,-141.759985447,0.114076155,0.095932566,660,-1417.599854472
319.033966376,10,13,8,2,0,1,0,N2 P1 O8,319.033675931,0.910389916,C10H13O8N2P,0,0,6,-2,-5,48.9,318.677730199,0.322269801,0.4,0.8,1.3,0.2,0.1,2,Tannin,Tannin,Nucleotide,48.9,-134.887679434,0.118339131,0.104031913,489,-1348.87679434
241.047268848,10,14,1,2,2,0,0,N2 S2 O1,241.047478976,-0.871727463,C10H14ON2S2,0,0.090909091,5,4,0,66,240.778113315,0.221886685,-0.2,0.1,1.4,0.2,0,-9999,Unsat Hydrocarbon,Unsat Hydrocarbon,Other,66,-141.759985447,0.114076155,0.095932566,660,-1417.599854472
257.042272655,10,14,2,2,2,0,0,N2 S2 O2,257.042393596,-0.470507827,C10H14O2N2S2,0,0,5,3,-1,60.3,256.755256957,0.244743043,0,0.2,1.4,0.2,0,-9999,Other,Lignin,Protein,60.3,-139.469216776,0.115696287,0.098021263,603,-1394.692167761
181.087065029,10,14,3,0,0,0,0,O3,181.087017858,0.260490774,C10H14O3,0.142857143,0.294117647,4,1,1,83.1,180.884861595,0.115138405,-0.8,0.3,1.4,0,0,-9999,Lignin,Lignin,Other,83.1,-148.63229146,0.082489679,0.074989033,831,-1486.322914603
197.081902194,10,14,4,0,0,0,0,O4,197.081932477,-0.15365936,C10H14O4,0,0.25,4,0,0,77.4,196.861838781,0.138161219,-0.6,0.4,1.4,0,0,-9999,Lignin,Lignin,Other,77.4,-146.341522789,0.089549361,0.081245414,774,-1463.415227892
225.088304227,10,14,4,2,0,0,0,N2 O4,225.088080486,0.994012972,C10H14O4N2,0,0.166666667,5,1,-1,60.3,224.836968615,0.163031385,0,0.4,1.4,0.2,0,-9999,Lignin,Lignin,Protein,60.3,-131.478448105,0.115696287,0.105833106,603,-1314.784481051
245.048855815,10,14,5,0,1,0,0,S1 O5,245.048918271,-0.254871115,C10H14O5S,0,0.076923077,4,-1,-2,66,244.775232074,0.224767926,-0.2,0.5,1.4,0,0,-9999,Lignin,Lignin,Other,66,-145.755369783,0.114076155,0.093622929,660,-1457.553697827
337.992627229,10,14,6,1,2,1,0,N1 S2 P1 O6,337.992740068,-0.333850307,C10H14O6NS2P,0,0,5,-1,-5,60.3,337.615221642,0.384778358,0,0.6,1.4,0.1,0.1,1,Lignin;Amino Sugar,Lignin,Lipid,60.3,-151.455369783,0.115696287,0.092978274,603,-1514.553697827
257.077675467,10,14,6,2,0,0,0,N2 O6,257.077909725,-0.911233587,C10H14O6N2,0,0,5,-1,-3,48.9,256.790620238,0.209379762,0.4,0.6,1.4,0.2,0,-9999,Lignin;Amino Sugar,Lignin,Protein,48.9,-126.896910763,0.118339131,0.108182685,489,-1268.96910763
245.06684027,10,14,7,0,0,0,0,O7,245.066676336,0.668937089,C10H14O7,0,0.076923077,4,-3,-3,60.3,244.793196447,0.206803553,0,0.7,1.4,0,0,-9999,Amino Sugar,Tannin,Other,60.3,-139.469216776,0.115696287,0.098021263,603,-1394.692167761
261.061787669,10,14,8,0,0,0,0,O8,261.061590955,0.753515457,C10H14O8,0,0,4,-4,-4,54.6,260.770283745,0.229716255,0.2,0.8,1.4,0,0,-9999,Other,Tannin,Other,54.6,-137.178448105,0.117093486,0.100964862,546,-1371.784481051
369.982208717,10,14,8,1,2,1,0,N1 S2 P1 O8,369.982569307,-0.974613782,C10H14O8NS2P,0,0,5,-3,-7,48.9,369.569083277,0.430916723,0.4,0.8,1.4,0.1,0.1,1,Other,Tannin,Other,48.9,-146.873832441,0.118339131,0.098085353,489,-1468.738324406
293.03364574,10,14,8,0,1,0,0,S1 O8,293.03366213,-0.055932547,C10H14O8S,0,0,4,-4,-5,48.9,292.706441753,0.293558247,0.4,0.8,1.4,0,0,-9999,Other,Tannin,Other,48.9,-138.88306377,0.118339131,0.102013469,489,-1388.830637695
277.056469402,10,14,9,0,0,0,0,O9,277.056505575,-0.130563473,C10H14O9,0,0,4,-5,-5,48.9,276.747105673,0.252894327,0.4,0.9,1.4,0,0,-9999,Other,Tannin,Other,48.9,-134.887679434,0.118339131,0.104031913,489,-1348.87679434
337.034878688,10,14,9,2,1,0,0,N2 S1 O9,337.034724758,0.456716221,C10H14O9N2S,0,0,5,-4,-7,26.1,336.658542531,0.341457469,1.2,0.9,1.4,0.2,0,-9999,Other,Tannin,Other,26.1,-121.729220414,0.140794973,0.120256165,261,-1217.292204143
333.068704807,10,14,9,4,0,0,0,N4 O9,333.068801593,-0.290586586,C10H14O9N4,0,0,6,-3,-7,14.7,332.696797316,0.303202684,1.6,0.9,1.4,0.4,0,-9999,Other,Tannin,Protein,14.7,-105.161530066,0.154960434,0.139445575,147,-1051.615300657
309.028698059,10,14,9,0,1,0,0,S1 O9,309.028576749,0.392552875,C10H14O9S,0,0,4,-5,-6,43.2,308.683633854,0.316366146,0.6,0.9,1.4,0,0,-9999,Other,Tannin,Other,43.2,-136.592295099,0.12331573,0.105009305,432,-1365.922950985
